DATE,FLLF
1976-01-01,3592149
1976-02-01,3591389
1976-03-01,3591633
1976-04-01,3594014
1976-05-01,3597871
1976-06-01,3602438
1976-07-01,3605780
1976-08-01,3608167
1976-09-01,3609567
1976-10-01,3610341
1976-11-01,3611946
1976-12-01,3616376
1977-01-01,3626043
1977-02-01,3640399
1977-03-01,3656840
1977-04-01,3673735
1977-05-01,3690261
1977-06-01,3706641
1977-07-01,3724185
1977-08-01,3744507
1977-09-01,3768320
1977-10-01,3794285
1977-11-01,3820042
1977-12-01,3843092
1978-01-01,3863066
1978-02-01,3881476
1978-03-01,3899834
1978-04-01,3918418
1978-05-01,3937372
1978-06-01,3956057
1978-07-01,3973552
1978-08-01,3989934
1978-09-01,4006225
1978-10-01,4024534
1978-11-01,4045188
1978-12-01,4065529
1979-01-01,4082104
1979-02-01,4093813
1979-03-01,4101708
1979-04-01,4107701
1979-05-01,4114563
1979-06-01,4123188
1979-07-01,4133934
1979-08-01,4146610
1979-09-01,4160344
1979-10-01,4173810
1979-11-01,4186531
1979-12-01,4198924
1980-01-01,4210270
1980-02-01,4219406
1980-03-01,4226343
1980-04-01,4232383
1980-05-01,4239330
1980-06-01,4250168
1980-07-01,4265523
1980-08-01,4284306
1980-09-01,4305153
1980-10-01,4326666
1980-11-01,4349575
1980-12-01,4376671
1981-01-01,4408535
1981-02-01,4442632
1981-03-01,4475884
1981-04-01,4504086
1981-05-01,4524184
1981-06-01,4537022
1981-07-01,4545626
1981-08-01,4552729
1981-09-01,4561017
1981-10-01,4572837
1981-11-01,4587058
1981-12-01,4602989
1982-01-01,4621396
1982-02-01,4642574
1982-03-01,4665084
1982-04-01,4688572
1982-05-01,4711937
1982-06-01,4732809
1982-07-01,4750574
1982-08-01,4765999
1982-09-01,4779399
1982-10-01,4790414
1982-11-01,4799330
1982-12-01,4804475
1983-01-01,4806797
1983-02-01,4811180
1983-03-01,4822130
1983-04-01,4842860
1983-05-01,4873123
1983-06-01,4909574
1983-07-01,4947630
1983-08-01,4981875
1983-09-01,5008601
1983-10-01,5027166
1983-11-01,5039641
1983-12-01,5050684
1984-01-01,5064473
1984-02-01,5082280
1984-03-01,5103312
1984-04-01,5124734
1984-05-01,5144839
1984-06-01,5162203
1984-07-01,5175887
1984-08-01,5187732
1984-09-01,5200303
1984-10-01,5216132
1984-11-01,5237341
1984-12-01,5262687
1985-01-01,5287331
1985-02-01,5306382
1985-03-01,5317656
1985-04-01,5322271
1985-05-01,5323389
1985-06-01,5325080
1985-07-01,5330416
1985-08-01,5341594
1985-09-01,5358773
1985-10-01,5379940
1985-11-01,5402174
1985-12-01,5423608
1986-01-01,5445124
1986-02-01,5468761
1986-03-01,5495022
1986-04-01,5523419
1986-05-01,5552663
1986-06-01,5582265
1986-07-01,5611622
1986-08-01,5638832
1986-09-01,5662822
1986-10-01,5684194
1986-11-01,5703078
1986-12-01,5721916
1987-01-01,5741724
1987-02-01,5762017
1987-03-01,5783688
1987-04-01,5806469
1987-05-01,5829436
1987-06-01,5851628
1987-07-01,5872944
1987-08-01,5894086
1987-09-01,5915859
1987-10-01,5937408
1987-11-01,5958287
1987-12-01,5976792
1988-01-01,5991482
1988-02-01,6002867
1988-03-01,6011087
1988-04-01,6017900
1988-05-01,6025697
1988-06-01,6036287
1988-07-01,6050327
1988-08-01,6067411
1988-09-01,6086434
1988-10-01,6105757
1988-11-01,6124035
1988-12-01,6140063
1989-01-01,6154514
1989-02-01,6167773
1989-03-01,6181208
1989-04-01,6195415
1989-05-01,6210110
1989-06-01,6225307
1989-07-01,6240543
1989-08-01,6256379
1989-09-01,6274065
1989-10-01,6295683
1989-11-01,6321170
1989-12-01,6349625
1990-01-01,6379104
1990-02-01,6406451
1990-03-01,6429132
1990-04-01,6446148
1990-05-01,6458777
1990-06-01,6468195
1990-07-01,6476949
1990-08-01,6485727
1990-09-01,6492712
1990-10-01,6496409
1990-11-01,6497875
1990-12-01,6498557
1991-01-01,6499530
1991-02-01,6503303
1991-03-01,6509319
1991-04-01,6516320
1991-05-01,6523977
1991-06-01,6531524
1991-07-01,6537530
1991-08-01,6542562
1991-09-01,6548927
1991-10-01,6557473
1991-11-01,6568219
1991-12-01,6580212
1992-01-01,6592991
1992-02-01,6606363
1992-03-01,6621640
1992-04-01,6639323
1992-05-01,6656141
1992-06-01,6669464
1992-07-01,6678803
1992-08-01,6683343
1992-09-01,6682982
1992-10-01,6680312
1992-11-01,6677143
1992-12-01,6675929
1993-01-01,6679597
1993-02-01,6688766
1993-03-01,6703371
1993-04-01,6721312
1993-05-01,6739840
1993-06-01,6756852
1993-07-01,6769578
1993-08-01,6779077
1993-09-01,6789508
1993-10-01,6803359
1993-11-01,6821359
1993-12-01,6843187
1994-01-01,6865821
1994-02-01,6884889
1994-03-01,6898052
1994-04-01,6906739
1994-05-01,6914985
1994-06-01,6926352
1994-07-01,6943167
1994-08-01,6964069
1994-09-01,6985415
1994-10-01,7003963
1994-11-01,7018794
1994-12-01,7027968
1995-01-01,7030505
1995-02-01,7029552
1995-03-01,7027919
1995-04-01,7027097
1995-05-01,7029365
1995-06-01,7035498
1995-07-01,7044713
1995-08-01,7054662
1995-09-01,7063035
1995-10-01,7069141
1995-11-01,7072625
1995-12-01,7075076
1996-01-01,7079505
1996-02-01,7087634
1996-03-01,7100222
1996-04-01,7116787
1996-05-01,7136131
1996-06-01,7157364
1996-07-01,7180065
1996-08-01,7203603
1996-09-01,7225042
1996-10-01,7241649
1996-11-01,7253775
1996-12-01,7263935
1997-01-01,7274764
1997-02-01,7288426
1997-03-01,7306706
1997-04-01,7329934
1997-05-01,7353959
1997-06-01,7374788
1997-07-01,7391349
1997-08-01,7404058
1997-09-01,7414542
1997-10-01,7424421
1997-11-01,7433797
1997-12-01,7443445
1998-01-01,7453805
1998-02-01,7464967
1998-03-01,7475480
1998-04-01,7485300
1998-05-01,7496435
1998-06-01,7509764
1998-07-01,7524598
1998-08-01,7540917
1998-09-01,7558590
1998-10-01,7576163
1998-11-01,7591256
1998-12-01,7602301
1999-01-01,7609546
1999-02-01,7615200
1999-03-01,7621791
1999-04-01,7630018
1999-05-01,7638792
1999-06-01,7648071
1999-07-01,7657318
1999-08-01,7666794
1999-09-01,7678355
1999-10-01,7693788
1999-11-01,7715006
1999-12-01,7740561
2000-01-01,7766891
2000-02-01,7789735
2000-03-01,7807619
2000-04-01,7821650
2000-05-01,7833369
2000-06-01,7843623
2000-07-01,7854270
2000-08-01,7868460
2000-09-01,7887105
2000-10-01,7910710
2000-11-01,7938329
2000-12-01,7967452
2001-01-01,7994604
2001-02-01,8016913
2001-03-01,8031769
2001-04-01,8038229
2001-05-01,8040603
2001-06-01,8043285
2001-07-01,8049913
2001-08-01,8059278
2001-09-01,8069917
2001-10-01,8040672
2001-11-01,8049668
2001-12-01,8057010
2002-01-01,8063779
2002-02-01,8069997
2002-03-01,8076223
2002-04-01,8085225
2002-05-01,8098095
2002-06-01,8113558
2002-07-01,8128237
2002-08-01,8140435
2002-09-01,8149610
2002-10-01,8154198
2002-11-01,8155967
2002-12-01,8156648
2003-01-01,8159615
2003-02-01,8167366
2003-03-01,8178441
2003-04-01,8188639
2003-05-01,8194829
2003-06-01,8199016
2003-07-01,8203690
2003-08-01,8210648
2003-09-01,8222068
2003-10-01,8239638
2003-11-01,8262814
2003-12-01,8288783
2004-01-01,8313878
2004-02-01,8336963
2004-03-01,8359733
2004-04-01,8382022
2004-05-01,8403495
2004-06-01,8424546
2004-07-01,8446753
2004-08-01,8470464
2004-09-01,8494058
2004-10-01,8516037
2004-11-01,8536214
2004-12-01,8556921
2005-01-01,8579371
2005-02-01,8603022
2005-03-01,8628448
2005-04-01,8657368
2005-05-01,8689618
2005-06-01,8722052
2005-07-01,8750988
2005-08-01,8774258
2005-09-01,8792094
2005-10-01,8806801
2005-11-01,8820710
2005-12-01,8835349
2006-01-01,8853722
2006-02-01,8877120
2006-03-01,8904294
2006-04-01,8933122
2006-05-01,8961699
2006-06-01,8988404
2006-07-01,9014400
2006-08-01,9041424
2006-09-01,9068807
2006-10-01,9095415
2006-11-01,9119319
2006-12-01,9137262
2007-01-01,9147556
2007-02-01,9151999
2007-03-01,9151861
2007-04-01,9149170
2007-05-01,9146329
2007-06-01,9145207
2007-07-01,9146699
2007-08-01,9151797
2007-09-01,9160898
2007-10-01,9171937
2007-11-01,9182915
2007-12-01,9192972
2008-01-01,9199886
2008-02-01,9203053
2008-03-01,9204905
2008-04-01,9207367
2008-05-01,9211977
2008-06-01,9219484
2008-07-01,9227693
2008-08-01,9233153
2008-09-01,9233547
2008-10-01,9228005
2008-11-01,9215819
2008-12-01,9198113
2009-01-01,9177322
2009-02-01,9156984
2009-03-01,9140524
2009-04-01,9128564
2009-05-01,9117789
2009-06-01,9105647
2009-07-01,9090250
2009-08-01,9071632
2009-09-01,9053826
2009-10-01,9041413
2009-11-01,9041529
2009-12-01,9057975
2010-01-01,9087605
2010-02-01,9121821
2010-03-01,9153821
2010-04-01,9181288
2010-05-01,9203212
2010-06-01,9219282
2010-07-01,9232148
2010-08-01,9244915
2010-09-01,9256982
2010-10-01,9268067
2010-11-01,9276191
2010-12-01,9280528
2011-01-01,9283526
2011-02-01,9285256
2011-03-01,9284110
2011-04-01,9280607
2011-05-01,9278592
2011-06-01,9280695
2011-07-01,9288470
2011-08-01,9300806
2011-09-01,9314616
2011-10-01,9326979
2011-11-01,9334508
2011-12-01,9336389
2012-01-01,9335794
2012-02-01,9337939
2012-03-01,9343664
2012-04-01,9351008
2012-05-01,9360799
2012-06-01,9373314
2012-07-01,9387003
2012-08-01,9401895
2012-09-01,9418399
2012-10-01,9432438
2012-11-01,9441024
2012-12-01,9443197
2013-01-01,9432835
2013-02-01,9428334
2013-03-01,9428809
2013-04-01,9438181
2013-05-01,9451917
2013-06-01,9464347
2013-07-01,9471902
2013-08-01,9472085
2013-09-01,9467499
2013-10-01,9466257
2013-11-01,9474475
2013-12-01,9492133
2014-01-01,9507295
2014-02-01,9530587
2014-03-01,9548725
2014-04-01,9558358
2014-05-01,9562152
2014-06-01,9566095
2014-07-01,9572055
2014-08-01,9581024
2014-09-01,9590936
2014-10-01,9596758
2014-11-01,9595288
2014-12-01,9589346
2015-01-01,9569905
2015-02-01,9565203
2015-03-01,9565556
2015-04-01,9570756
2015-05-01,9577677
2015-06-01,9583120
2015-07-01,9587977
2015-08-01,9594182
2015-09-01,9603770
2015-10-01,9620273
2015-11-01,9643903
2015-12-01,9669925
2016-01-01,9693636
2016-02-01,9712896
2016-03-01,9727593
2016-04-01,9740951
2016-05-01,9757831
2016-06-01,9780140
2016-07-01,9807134
2016-08-01,9836968
2016-09-01,9867303
2016-10-01,9895233
2016-11-01,9921043
2016-12-01,9946734
2017-01-01,9973240
2017-02-01,10000028
2017-03-01,10024862
2017-04-01,10046850
2017-05-01,10064912
2017-06-01,10078216
2017-07-01,10087485
2017-08-01,10092485
2017-09-01,10094477
2017-10-01,10095930
2017-11-01,10097965
2017-12-01,10102103
2018-01-01,10110173
2018-02-01,10123101
2018-03-01,10138504
2018-04-01,10150992
2018-05-01,10158287
2018-06-01,10162862
2018-07-01,10167793
2018-08-01,10177203
2018-09-01,10192858
2018-10-01,10213136
2018-11-01,10234393
2018-12-01,10251451
2019-01-01,10260524
2019-02-01,10261124
2019-03-01,10259007
2019-04-01,10262056
2019-05-01,10274886
2019-06-01,10298460
2019-07-01,10333418
2019-08-01,10370434
2019-09-01,10402699
2019-10-01,10423379
2019-11-01,10423269
2019-12-01,10419034
2020-01-01,10440312
2020-02-01,10455399
2020-03-01,10331185
2020-04-01,9472243
2020-05-01,9627360
2020-06-01,9751928
2020-07-01,9994978
2020-08-01,10144626
2020-09-01,10123478
2020-10-01,10096966
2020-11-01,10112404
2020-12-01,10143360
